Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
006504;Finca Flichman Caballero de la Cepa Cabernet Sauvignon 2015;Finca Flichman;0,75 l;9.88;13.04;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, ;Keskitäyteläinen, keskitanniininen, karpaloinen, tumman kirsikkainen, yrttinen, kevyen minttuinen, hennon havuinen;pullo;metallinen kierrekapseli;14.0;4.6;;;;;80.0;vakiovalikoima;7790470051000
006404;Finca Flichman Shiraz Roble 2015;Finca Flichman;0,75 l;9.43;12.44;;110;punaviinit;Marjaisa & Raikas;;;Argentiina;Mendoza;2015;Mendoza;;Syrah, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, kypsän karpaloinen, timjaminen, kevyen mausteinen;pullo;metallinen kierrekapseli;12.5;3.9;;;;;70.0;vakiovalikoima;7790470050454
431787;Fuzion Organic Malbec 2019;Fuzion Wines;0,75 l;10.49;13.85;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, mustikkahilloinen, punaherukkainen, kevyen vadelmainen, hennon havuinen;pullo;metallinen kierrekapseli;13.5;5.0;;;;;80.0;vakiovalikoima;7791728019681
458667;Fuzion The Coffee Shop Red Blend 2019;La Agricola;0,75 l;10.99;14.52;;110;punaviinit;Pehmeä & Hedelmäinen;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, Bonarda, ;Keskitäyteläinen, keskitanniininen, kirsikkahilloinen, metsämansikkainen, mokkainen, maitosuklainen, vaniljainen;pullo;metallinen kierrekapseli;14.0;5.2;11;;;;80.0;vakiovalikoima;7791728010299
462537;Gran Mascota Cabernet Sauvignon 2016;Mascota Vineyards;0,75 l;29.98;39.97;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, boysenmarjainen, tumman luumuinen, kaakaoinen, tamminen, pitkä;pullo;luonnonkorkki;14.0;5.4;;;;;80.0;vakiovalikoima;7790762053255
480007;Kaiken Estate Malbec 2018;Kaiken;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, mesimarjainen, kirsikkainen, mustikkainen, kevyen neilikkainen, hennon kukkainen;pullo;metallinen kierrekapseli;14.0;5.2;;;;;80.0;vakiovalikoima;7804303555013
495047;La Mascota Dark Bat Syrah 2019;La Mascota;0,75 l;11.98;15.84;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2019;Mendoza;;Syrah, ;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, tumman luumuinen, kevyen kaakaoinen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.1;2;;;;80.0;vakiovalikoima;7790762054092
949332;La Mascota Unanime Gran Vino Tinto;La Mascota;0,75 l;24.98;33.31;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, Cabernet Franc, Malbec, ;Täyteläinen, tanniininen, mausteinen;pullo;luonnonkorkki;14.5;5.3;4;;;;80.0;tilausvalikoima;7790762050902
460107;Luigi Bosca Cabernet Franc  2015;Bodega Luigi Bosca;0,75 l;19.98;26.51;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Luján de Cuyo;Saattaa sisältää sakkaa;Cabernet Franc, ;Täyteläinen, tanniininen, hapankirsikkainen, viikunainen, karpaloinen, herukkainen, yrttinen, tamminen;pullo;luonnonkorkki;14.0;5.8;;;;;80.0;vakiovalikoima;7791203001521
430377;Luigi Bosca Cabernet Sauvignon 2017;Luigi Bosca;0,75 l;17.98;23.84;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, kypsän karpaloinen, hapankirsikkainen, kevyen viikunainen, hennon tallinen, tamminen;pullo;luonnonkorkki;14.0;5.3;;;;;80.0;vakiovalikoima;7791203001248
466907;Luigi Bosca Malbec 2018;Bodega Luigi Bosca;0,75 l;19.98;26.51;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;DOC Luján de Cuyo;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, hapankirsikkainen, kevyen salmiakkinen, hennon havuinen, lämmin;pullo;luonnonkorkki;14.5;5.1;;;;;80.0;vakiovalikoima;7791203000142
910867;Masi Tupungato Passo Doble 2017;Masi Tupungato;0,75 l;14.80;19.73;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2017;Valle de Uco;;Corvina, Malbec, ;Täyteläinen, keskitanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.5;2;;;;80.0;tilausvalikoima;8002062001607
939907;Milamore 2015;Renacer;0,75 l;24.99;33.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Malbec, Cabernet Sauvignon, Bonarda, Cabernet Franc, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mansikkainen, mustaherukkainen, luumuhilloinen, mausteinen;pullo;luonnonkorkki;13.5;5.2;8;;;;80.0;vakiovalikoima;7798127724758
415357;Navarro Correas Alegoría Gran Reserva Malbec 2012;Bodega Navarro Correas;0,75 l;22.99;30.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2012;Mendoza;;Malbec, ;Erittäin täyteläinen, tanniininen, tumman kirsikkainen, luumuinen, boysenmarjainen, tummasuklainen, mustapippurinen, tamminen, runsas;pullo;luonnonkorkki;15.0;5.3;;;;;80.0;vakiovalikoima;7790649991250
910697;Navarro Correas Colección Privada Malbec 2019;Bodega Navarro Correas;0,75 l;13.28;17.57;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, boysenmarjainen, kevyen minttuinen, hennon paahteinen;pullo;luonnonkorkki;13.5;4.9;3;;;;80.0;vakiovalikoima;7791250001673
934807;"Navarro Correas Privada Cabernet Sauvignon
 2017";Bodega Navarro Correas;0,75 l;13.28;17.57;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, mustaherukkainen, kirsikkainen, tamminen;pullo;luonnonkorkki;13.5;5.4;2;;;;80.0;tilausvalikoima;7791250001680
926727;Navarro Correas Reserve Cabernet Sauvignon 2016;Bodega Navarro Correas;0,75 l;16.49;21.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, luumuinen, tamminen;pullo;luonnonkorkki;14.0;5.2;2;;;;80.0;tilausvalikoima;7790649000136
955777;Navarro Correas Reserve Malbec 2017;Bodega Navarro Correas;0,75 l;16.49;21.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;;;Malbec, ;Täyteläinen, tanniininen, kirsikkainen, luumuinen, pippurinen;pullo;luonnonkorkki;14.0;5.4;3;;;;80.0;tilausvalikoima;7790649000112
418957;Nicolas Catena Zapata 2014;Catena Zapata;0,75 l;90.13;120.17;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2014;Mendoza;;Cabernet Sauvignon, Malbec, ;Erittäin täyteläinen, tanniininen, mustaherukkainen, tumman kirsikkainen, villivadelmainen, kevyen orvokkinen, mausteinen, tamminen, lämmin, pitkä;pullo;luonnonkorkki;13.5;5.4;2;;;;80.0;erikoiserä;7794450008305
459657;Nieto Senetiner Malbec 2018;Nieto Senetiner;0,75 l;12.50;16.53;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, boysenmarjainen, kirsikkainen, karpaloinen, mausteinen, hennon kukkainen;pullo;metallinen kierrekapseli;13.5;5.5;;;;;80.0;vakiovalikoima;7793440000046
445147;Norton Barrel Select Cabernet Sauvignon 2019;Bodega Norton;0,75 l;12.19;16.12;;110;punaviinit;Mehevä & Hilloinen;soveltuu vegaaneille;;Argentiina;Mendoza;2019;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, mustaherukkainen, tumman kirsikkainen, kevyen vadelmainen, mausteinen, hennon salmiakkinen;pullo;metallinen kierrekapseli;14.0;5.5;;;;;80.0;vakiovalikoima;7792319065292
